tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,58365.475034699775,611475035815010002,1,611475035815,20.5603,-1,611,0.533058,20.125,16.552706,20.1084,0.330419,100.0,0.012306854,0.2798,59.898802,50.278119,0.52,t12_f5_c3,20.0101,0.3139,False,True,False,bulk_1.0.0,0.0,6.13465865815015e+17,,,ZTF17aaaaaal
ztf,58367.46586810006,613465865815015018,1,613465865815,20.999924,1,613,0.610792,18.851116,16.393763,18.8937,0.16431487,0.0014989467,0.017089747,0.0761,59.899284,50.2782066,0.57,t8_f5_c3,18.8971,0.0903,False,True,False,bulk_1.0.0,0.0,6.18454235815015e+17,0.0,742120158.0,ZTF17aaaaaal
ztf,58372.45423609996,618454235815015021,1,618454235815,21.001324,1,618,0.2750444,19.14897,16.4212,19.1905,0.15445831,100.0,0.012522852,0.0945,59.899156,50.2781443,0.61,t8_f5_c3,19.0919,0.1018,True,True,False,bulk_1.0.0,0.0,0.0,0.0,742120158.0,ZTF17aaaaaal
ztf,58429.42415509978,675424155815015029,1,675424155815,20.928917,1,675,0.2084385,18.802189,16.38857,19.1363,0.20548435,0.014422617,0.02225007,0.0938,59.8990493,50.2780901,0.47666666,t8_f5_c3,19.2434,0.1219,False,True,False,bulk_1.0.0,0.0,7.0135853581501e+17,0.0,742120158.0,ZTF17aaaaaal
ztf,58434.40796299977,680407965815015046,1,680407965815,20.245975,1,680,0.5570912,18.905378,16.399282,19.0835,0.19011359,0.008038764,0.018904911,0.1015,59.8988952,50.2782805,0.6166667,t8_f5_c3,18.9702,0.1109,False,True,False,bulk_1.0.0,0.0,7.0135853581501e+17,0.0,742120158.0,ZTF17aaaaaal
ztf,58450.35199069977,696351995815010008,2,696351995815,19.869883,-1,696,0.089397326,18.487768,15.748805,19.052,0.15242822,100.0,0.012231512,0.1905,59.8990133,50.2781236,0.63666666,t8_f5_c3,19.048,0.2358,False,True,False,bulk_1.0.0,0.0,7.2031702581501e+17,0.0,742120258.0,ZTF17aaaaaal
ztf,58455.35853009997,701358535815010002,2,701358535815,20.408705,-1,701,0.47552377,18.451986,15.751728,18.6776,0.096324675,100.0,0.008010033,0.0961,59.8988459,50.2780956,0.54,t8_f5_c3,18.6267,0.1104,False,True,False,bulk_1.0.0,0.0,7.2031702581501e+17,0.0,742120258.0,ZTF17aaaaaal
ztf,58456.216006900184,702216005815010005,2,702216005815,20.177778,-1,702,0.35548624,18.35154,15.760515,18.5823,0.092251875,100.0,0.008483309,0.0884,59.8989699,50.2780492,0.68,t8_f5_c3,18.4744,0.0965,False,True,False,bulk_1.0.0,0.0,7.2031702581501e+17,0.0,742120258.0,ZTF17aaaaaal
ztf,58456.270717599895,702270715815010009,2,702270715815,20.503155,-1,702,0.24591157,18.482641,15.749217,18.606,0.13220143,100.0,0.010662687,0.0866,59.898985,50.278192,0.5566667,t8_f5_c3,18.6485,0.1081,False,True,False,bulk_1.0.0,0.0,7.2031702581501e+17,0.0,742120258.0,ZTF17aaaaaal
ztf,58462.29708330007,708297085815015009,2,708297085815,19.341759,1,708,0.39020443,18.256762,15.569547,18.5485,0.13278031,100.0,0.011175009,0.2228,59.8991322,50.2780405,0.61,t8_f5_c3,18.4682,0.2602,False,True,False,bulk_1.0.0,0.0,7.2031702581501e+17,0.0,742120258.0,ZTF17aaaaaal
ztf,58465.26181709999,711261815815010002,2,711261815815,20.343231,-1,711,0.31657645,18.47502,15.749835,18.6106,0.15186337,100.0,0.012341816,0.09,59.898909,50.2781188,0.5233333,t8_f5_c3,18.528,0.1007,False,True,False,bulk_1.0.0,0.0,7.2031702581501e+17,0.0,742120258.0,ZTF17aaaaaal
ztf,58469.18366899993,715183665815010001,1,715183665815,19.5612,-1,715,0.706605,19.6303,16.5763,19.7166,0.495179,0.021865353,0.029727757,0.5093,59.898772,50.2780368,0.49,t12_f5_c3,19.325,0.4521,False,True,False,bulk_1.0.0,0.0,7.2031702581501e+17,,,ZTF17aaaaaal
ztf,58474.317025499884,720317025815010002,2,720317025815,19.257902,-1,720,0.4255164,18.428041,15.753743,19.1197,0.18899065,100.0,0.016096113,0.3416,59.8989412,50.278237,0.56666666,t8_f5_c3,19.1014,0.4273,False,True,False,bulk_1.0.0,0.0,7.27309795815015e+17,0.0,742120258.0,ZTF17aaaaaal
ztf,58481.2762616002,727276265815015027,1,727276265815,20.1906,1,727,0.416805,19.4575,16.443195,20.0097,0.226758,100.0,0.0141201895,0.2441,59.8989007,50.2782347,0.55,t12_f5_c3,19.7289,0.2308,False,True,False,bulk_1.0.0,0.0,7.51119805815015e+17,,,ZTF17aaaaaal
ztf,58481.30979169998,727309795815015033,2,727309795815,20.209688,1,727,0.17999826,18.37003,15.578637,18.2594,0.094181575,100.0,0.0072012707,0.0692,59.8990935,50.278092,0.68333334,t8_f5_c3,18.2973,0.0858,False,True,False,bulk_1.0.0,0.0,7.51119805815015e+17,0.0,742120258.0,ZTF17aaaaaal
ztf,58482.19263890013,728192635815015040,2,728192635815,19.978838,1,728,0.31973946,17.880074,15.532296,17.8528,0.0955299,100.0,0.010990775,0.0503,59.8989389,50.2781964,0.66,t8_f5_c3,17.8136,0.0582,False,True,False,bulk_1.0.0,0.0,7.51119805815015e+17,0.0,742120258.0,ZTF17aaaaaal
ztf,58486.13343749987,732133435815015031,2,732133435815,20.334644,1,732,0.61739457,18.333145,15.575772,18.2196,0.16197702,100.0,0.01277922,0.0669,59.8990611,50.2783097,0.51,t8_f5_c3,18.221,0.0804,False,True,False,bulk_1.0.0,0.0,7.51119805815015e+17,0.0,742120258.0,ZTF17aaaaaal
ztf,58491.202673600055,737202675815015018,1,737202675815,20.773653,1,737,0.11236974,19.144196,16.420813,19.1805,0.1509661,100.0,0.012289264,0.1075,59.8990494,50.2781196,0.6166667,t8_f5_c3,19.1009,0.1201,False,True,False,bulk_1.0.0,0.0,7.51119805815015e+17,0.0,742120158.0,ZTF17aaaaaal
ztf,58493.25843749987,739258435815010003,2,739258435815,20.482483,-1,739,0.25107187,18.399073,15.756247,18.6312,0.08775539,100.0,0.007693844,0.0898,59.8990902,50.2780714,0.25857142,t8_f5_c3,18.5621,0.1013,False,True,False,bulk_1.0.0,0.0,7.51119805815015e+17,0.0,742120258.0,ZTF17aaaaaal
ztf,58505.11980320001,751119805815015012,2,751119805815,19.676289,1,751,0.043929838,18.320911,15.574802,18.2491,0.12055427,100.0,0.009610345,0.1005,59.8990594,50.2781274,0.56,t15_f5_c3,18.1183,0.1111,False,True,False,bulk_1.0.0,0.0,7.5421486581501e+17,0.0,742120258.0,ZTF17aaaaaal
ztf,58507.22303240001,753223035815010003,2,753223035815,19.9859,-1,753,0.673528,18.2774,15.767594,18.8739,0.21337,0.0132405935,0.021145176,0.1515,59.899135,50.2779567,0.204286,t15_f5_c3,18.9545,0.2022,False,True,False,bulk_1.0.0,0.0,7.5421486581501e+17,,,ZTF17aaaaaal
