oid,num_detections,redshift,distance_mpc,first_mjd,last_mjd,duration_days,peak_luminosity,r_squared,ra,dec,angular_offset_arcsec,host_size_arcsec,angular_normalized_offset,offset_score,r_squared_score,duration_score,host_size_score,Primary_Score,Bonus,Total_TDE_Score,ML_score,first_utc,last_utc
ZTF17aaajhvh,25,0.047042,201.4690973,58464.49773,60957.53069,2493.032963,1.574955709,0.847233022,157.44922042408618,19.946422211519423,0.416627902349759,5.541871070861816,0.0751782019145691,1.0,1.0,0.0,1.0,0.9000000000000001,0.1,1.0,-0.0699454726701696,2018-12-12T11:56:43.871995136+00:00,2025-10-09T12:44:11.615993600+00:00
ZTF20aauxbrw,261,0.39054,1672.5849506759998,58943.42039350001,60848.331122700125,1904.9107292001136,16.464336501172742,-33.09440685676539,228.9767620449856,5.189114851807164,0.1914423687145862,1.995628833770752,0.0959308492014794,1.0,1.0,0.0,1.0,0.9000000000000001,0.1,1.0,,2020-04-04T10:05:21.998401024+00:00,2025-06-22T07:56:49.001290752+00:00
ZTF18admfazk,258,0.1187,508.36235378,59670.517222200055,60759.522338000126,1089.0051158000715,0.7511381631079874,-77.6263283422828,342.5239536675849,38.41033174912826,0.3058213390767127,5.931157112121582,0.0515618341068223,1.0,1.0,0.0,1.0,0.9000000000000001,0.1,1.0,,2022-04-01T12:24:47.998084608+00:00,2025-03-25T12:32:10.003211008+00:00
ZTF20aahpzxj,259,0.5774,2472.85950356,58872.43984950008,60857.19129629992,1984.7514467998408,53.65190524907513,-1256.9239088831257,205.0522338574936,0.6298264898393233,0.1217226793484681,2.1877381801605225,0.0556385953549235,1.0,1.0,0.0,1.0,0.9000000000000001,0.1,1.0,,2020-01-24T10:33:22.996806912+00:00,2025-07-01T04:35:28.000313088+00:00
ZTF20aamadyw,178,1.213558,5197.364796365199,58856.30591440015,60970.486863399856,2114.1809489997104,932.8518238034942,-43.66619224064215,126.81241144282404,23.791799857914835,0.2741493999535837,4.082939147949219,0.0671451104264641,1.0,1.0,0.0,1.0,0.9000000000000001,0.1,1.0,,2020-01-08T07:20:31.004172544+00:00,2025-10-22T11:41:04.997747456+00:00
ZTF19adaivcf,177,,,58836.48844909994,58912.40413190005,75.91568280011415,,-56.20667375873804,153.7546643536723,43.41491717175141,0.1551204136011724,3.59887957572937,0.0431024184991616,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,2019-12-19T11:43:22.002234880+00:00,2020-03-04T09:41:56.996164608+00:00
ZTF19acytnrn,260,0.008836,37.8423736984,58812.42994209984,60728.39628469991,1915.9663426000625,0.1089989223667886,-638.9588239989514,166.69787227303925,72.56872373460617,0.1401515242683112,15.418243408203123,0.0090899800034123,1.0,1.0,0.0,1.0,0.9000000000000001,0.1,1.0,,2019-11-25T10:19:06.997426432+00:00,2025-02-22T09:30:38.998071808+00:00
ZTF20aaegktl,34,3.065,13126.626911,58880.23440970015,60287.38112269994,1407.146712999791,2359.744310000311,-228.56292124939444,121.2579056346224,2.4279771136625974,0.0167298836138322,2.6225218772888184,0.0063793113638875,1.0,1.0,0.0,1.0,0.9000000000000001,0.1,1.0,,2020-02-01T05:37:32.998092800+00:00,2023-12-09T09:08:49.001274624+00:00
ZTF19abhivpo,262,,,60352.559652800206,60496.450000000186,143.89034719998017,,0.9668324362992576,302.72138939376134,24.66420137878285,0.1903802413491421,2.7957942485809326,0.0680952260509777,1.0,1.0,1.0,1.0,1.0,0.0,1.0,-0.05029590310976062,2024-02-12T13:25:54.001937920+00:00,2024-07-05T10:48:00.000016128+00:00
ZTF18acibcka,258,1.525,6531.192834999999,58434.47579859989,60986.48203699989,2552.006238400005,320.6092714435045,-861.4706151749132,144.2872826143624,26.80342980869238,0.2768459088327206,7.247196197509766,0.0382004158970952,1.0,1.0,0.0,1.0,0.9000000000000001,0.1,1.0,,2018-11-12T11:25:08.999030272+00:00,2025-11-07T11:34:07.996790784+00:00
ZTF19aaoagwg,47,,,59122.34718749998,59278.22112269979,155.87393519980833,,-30.06807094099572,58.244400006382975,75.42240841489361,0.0740313315013103,2.4702303409576416,0.0299694041781587,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,2020-09-30T08:19:56.999998464+00:00,2021-03-05T05:18:25.001261824+00:00
ZTF18adcafqd,263,0.816585,3497.228918799,58461.46049770014,60709.29513890017,2247.8346412000246,10.711689761881097,-118.0159731448267,161.03904608579424,13.157358466607867,0.0712695844392266,2.793213129043579,0.0255152690276914,1.0,1.0,0.0,1.0,0.9000000000000001,0.1,1.0,,2018-12-09T11:03:07.001292288+00:00,2025-02-03T07:05:00.000974592+00:00
ZTF19acoyylz,173,0.892811,3823.6857745634,58792.50976849999,60086.21883099992,1293.7090624999255,9.505939691433191,-944.9829537306268,169.526432849711,34.947871093641616,0.1234952226893485,1.3895628452301023,0.0888734346296504,1.0,1.0,0.0,1.0,0.9000000000000001,0.1,1.0,,2019-11-05T12:14:03.998399488+00:00,2023-05-22T05:15:06.998392832+00:00
ZTF17aaaffmi,22,0.967886,4145.213186,58434.31125,60911.41694,2477.105694,958.7690496698776,-2444.5730014518017,34.612883112968866,-6.183666318409732,0.1374417587697534,4.496578216552734,0.0305658552238244,1.0,1.0,0.0,1.0,0.9000000000000001,0.1,1.0,,2018-11-12T07:28:11.999982336+00:00,2025-08-24T10:00:23.615992064+00:00
ZTF17aaafant,68,0.9563097,4095.634794,58375.4424,60169.42135,1793.978958,565.0037258142514,-102.54400308334988,34.10819478088234,-4.8702879279411775,0.0116464064705334,3.937992572784424,0.0029574475459964,1.0,1.0,0.0,1.0,0.9000000000000001,0.1,1.0,,2018-09-14T10:37:03.360005120+00:00,2023-08-13T10:06:44.639996672+00:00
ZTF19adakgsw,113,,,58836.51447919989,59047.32475689985,210.81027769995853,,-144.40432734805609,225.9776618442478,65.71899833716814,0.0832950887492895,10.931190490722656,0.0076199466855858,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,2019-12-19T12:20:51.002870528+00:00,2020-07-17T07:47:38.996146944+00:00
ZTF19acjnapi,179,-0.000215,0.920791121,58784.48997690016,59215.43304400006,430.9430670998991,1.42910358828797e-05,-3461.535672449924,145.63030179106144,62.37696918268157,0.19926953001078,4.026182174682617,0.0494934211531271,1.0,1.0,0.5,1.0,0.9500000000000002,0.1,1.0,,2019-10-28T11:45:34.004174080+00:00,2021-01-01T10:23:35.001605376+00:00
ZTF18abnzncr,257,0.49447,2117.691095818,58349.41559030023,60826.4722684999,2477.056678199675,170.4172234183911,-18.78026995938999,0.2984069519817003,17.298045864275192,0.1894113673263977,4.186789512634277,0.0452402411811771,1.0,1.0,0.0,1.0,0.9000000000000001,0.1,1.0,,2018-08-19T09:58:27.001939456+00:00,2025-05-31T11:20:03.998391296+00:00
ZTF18abgdbcn,170,2.220868,9511.4210944792,58311.23785880022,60856.33063660003,2545.092777799815,61.95538824438183,-127.16201913505554,233.451375607942,50.524539229658,0.0355231112166968,1.5038684606552124,0.0236211558032275,1.0,1.0,0.0,1.0,0.9000000000000001,0.1,1.0,,2018-07-12T05:42:31.000338688+00:00,2025-06-30T07:56:07.002242816+00:00
ZTF18aabepij,253,1.845,7901.672642999999,58258.314317100216,60973.107511600014,2714.793194499798,901.1036126484804,-277.9534135928357,245.949550473933,27.946193690594445,0.1532898722539489,2.7251527309417725,0.0562500114263226,1.0,1.0,0.0,1.0,0.9000000000000001,0.1,1.0,,2018-05-20T07:32:36.997458688+00:00,2025-10-25T02:34:49.002241280+00:00
ZTF19acmtfkk,99,0.05734,245.572850596,59463.44648149982,60855.47275459999,1392.0262731001712,0.107629114466074,-1135.7467032263685,49.81487284254506,27.302561353479213,0.0345060505996043,1.7387430667877195,0.0198453993915002,1.0,1.0,0.0,1.0,0.9000000000000001,0.1,1.0,,2021-09-06T10:42:56.001584640+00:00,2025-06-29T11:20:45.997439232+00:00
ZTF20aakciou,61,,,58852.50824069977,59023.220046299975,170.7118056002073,,-1434.5936198592665,168.73048587213114,49.7664168,0.0702208554765863,1.0113919973373413,0.069429910125307,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,2020-01-04T12:11:51.996460032+00:00,2020-06-23T05:16:52.000317952+00:00
ZTF19aazfsjr,249,0.502425,2151.760367295,58634.46539349994,59140.19209490018,505.7267014002428,1.308755356606657,-238.63573801940024,341.07264820923695,15.410121741365463,0.1115244015494442,1.616313934326172,0.0689992204985462,1.0,1.0,0.0,1.0,0.9000000000000001,0.1,1.0,,2019-05-31T11:10:09.998394624+00:00,2020-10-18T04:36:36.999375616+00:00
ZTF17aaaglua,20,0.016835,72.10008615,60430.49279,60810.49226,379.9994675,0.0541602962612225,-18.444124451705186,6.7813660299658105,45.70155348499999,0.184140494281683,2.24680495262146,0.0819565997782037,1.0,1.0,0.5,1.0,0.9500000000000002,0.1,1.0,,2024-04-30T11:49:37.056004096+00:00,2025-05-15T11:48:51.264017408+00:00
ZTF18abryqqm,102,0.500629,2144.0685493726,58431.21324069984,60826.46937499987,2395.256134300027,73.34518303639734,-117.128915118365,11.72682905201838,17.361366213908497,0.2040449509324282,3.981634378433228,0.0512465313333766,1.0,1.0,0.0,1.0,0.9000000000000001,0.1,1.0,,2018-11-09T05:07:03.996466432+00:00,2025-05-31T11:15:53.999988736+00:00
ZTF19abzmqga,251,1.168292,5003.5018620248,58718.17952550016,60948.15231479984,2229.9727892996743,17.797901360880775,-297.0035239859029,226.62523176797623,53.49395696723829,0.1261908062891585,1.438186526298523,0.0877430041108348,1.0,1.0,0.0,1.0,0.9000000000000001,0.1,1.0,,2019-08-23T04:18:31.003214080+00:00,2025-09-30T03:39:19.998705920+00:00
ZTF17aaajaoy,30,0.455,1948.650977,60199.50138,60723.1986,523.6972222,73.81441516421583,-13.741038577787505,127.07170430541808,30.836965888678307,0.0242900875762485,2.410623073577881,0.010076269426973,1.0,1.0,0.0,1.0,0.9000000000000001,0.1,1.0,,2023-09-12T12:01:59.231982592+00:00,2025-02-17T04:45:59.039980288+00:00
ZTF20aavofvs,257,0.954503,4087.8971505482,58962.16804399993,60789.22888890002,1827.0608449000863,4.624936617113535,-807.9036356420155,155.93167420969817,20.701379954858,0.0426524907181571,1.0050548315048218,0.0424379739106328,1.0,1.0,0.0,1.0,0.9000000000000001,0.1,1.0,,2020-04-23T04:01:59.001594112+00:00,2025-04-24T05:29:36.000961536+00:00
ZTF17aaajnrx,139,2.245,9614.772403,58283.1959,60593.53792,2310.342014,5463.164536260544,-18.681177176021063,169.94833090005113,8.969822599992197,0.3408793671264214,4.490372657775879,0.0759133802705947,1.0,1.0,0.0,1.0,0.9000000000000001,0.1,1.0,,2018-06-14T04:42:05.760014336+00:00,2024-10-10T12:54:36.288002816+00:00
ZTF18acawqww,253,0.348847,1494.0242799418,58449.538831000216,60857.23687499994,2407.698043999728,2.5248057747801846,-8.734655702357657,201.5848295256233,3.6842489421712976,0.0747089874416921,1.0745606422424316,0.0695251477718248,1.0,1.0,0.0,1.0,0.9000000000000001,0.1,1.0,,2018-11-27T12:55:54.998418688+00:00,2025-07-01T05:41:05.999995136+00:00
ZTF18aavndgm,254,0.592597,2537.9444461918,58305.17907410022,60857.20743060019,2552.02835649997,7.7127931998775985,-25.8756960090486,198.0081735733278,7.782257732008515,0.1045152986954078,1.8936436176300049,0.0551926971486928,1.0,1.0,0.0,1.0,0.9000000000000001,0.1,1.0,,2018-07-06T04:17:52.002258944+00:00,2025-07-01T04:58:42.003856384+00:00
ZTF19acxpyvc,254,0.23268,996.510130392,58812.42526620021,59550.44564810023,738.0203819000162,0.5576905687694854,-612.2380773076987,147.69407731062992,29.64083922795276,0.0257429808406553,1.2532825469970703,0.0205404446924892,1.0,1.0,0.0,1.0,0.9000000000000001,0.1,1.0,,2019-11-25T10:12:22.999698176+00:00,2021-12-02T10:41:43.995859712+00:00
ZTF18aableyp,173,1.155,4946.575557,58280.20745369978,60353.43714120006,2073.2296875002794,29.653335981713905,-19.26063438206565,198.9229142299579,21.617927789997392,0.115170449760458,1.16212797164917,0.0991030700319692,1.0,1.0,0.0,1.0,0.9000000000000001,0.1,1.0,,2018-06-11T04:58:43.999661312+00:00,2024-02-13T10:29:28.999685376+00:00
ZTF19aadyfde,43,0.945,4047.198183,58480.475243099965,60338.217106500175,1857.7418634002097,1726.7394326086376,-73.44027884394812,117.92436501955068,11.0258274633221,0.2941507099313234,5.603700160980225,0.0524922286134362,1.0,1.0,0.0,1.0,0.9000000000000001,0.1,1.0,,2018-12-28T11:24:21.003836928+00:00,2024-01-29T05:12:38.001615104+00:00
ZTF18acwufbq,265,0.47,2012.892218,58456.21726850001,60691.3084028,2235.09113429999,2.982544318648193,-133.72469422391814,60.29294210217084,0.0671910264350785,0.0037745594551376,1.5086374282836914,0.0025019659358655,1.0,1.0,0.0,1.0,0.9000000000000001,0.1,1.0,,2018-12-04T05:12:51.998401024+00:00,2025-01-16T07:24:06.001920+00:00
